lego_set_id,lego_set_title,rebrickable_lego_set_url,bricket_lego_set_url,brickpicker_lego_set_url
75059-1,sandcrawler-star-wars-episode-456-2014,http://rebrickable.com/sets/75059-1/sandcrawler-star-wars-episode-456-2014,http://brickset.com/sets/75059-1,http://www.brickpicker.com/bpms/set.cfm?set=75059-1
70810-1,metalbeards-sea-cow-the-lego-movie-2014,http://rebrickable.com/sets/70810-1/metalbeards-sea-cow-the-lego-movie-2014,http://brickset.com/sets/70810-1,http://www.brickpicker.com/bpms/set.cfm?set=70810-1
71006-1,the-simpsons-house-town-2014,http://rebrickable.com/sets/71006-1/the-simpsons-house-town-2014,http://brickset.com/sets/71006-1,http://www.brickpicker.com/bpms/set.cfm?set=71006-1
10243-1,parisian-restaurant-modular-buildings-2014,http://rebrickable.com/sets/10243-1/parisian-restaurant-modular-buildings-2014,http://brickset.com/sets/10243-1,http://www.brickpicker.com/bpms/set.cfm?set=10243-1
45120-1,learntolearn-core-set-supplemental-2014,http://rebrickable.com/sets/45120-1/learntolearn-core-set-supplemental-2014,http://brickset.com/sets/45120-1,http://www.brickpicker.com/bpms/set.cfm?set=45120-1
76023-1,the-tumbler-batman-ii-2014,http://rebrickable.com/sets/76023-1/the-tumbler-batman-ii-2014,http://brickset.com/sets/76023-1,http://www.brickpicker.com/bpms/set.cfm?set=76023-1
10244-1,fairground-mixer-creator-2014,http://rebrickable.com/sets/10244-1/fairground-mixer-creator-2014,http://brickset.com/sets/10244-1,http://www.brickpicker.com/bpms/set.cfm?set=10244-1
42030-1,remote-controlled-volvo-l350f-wheel-loader-construction-2014,http://rebrickable.com/sets/42030-1/remote-controlled-volvo-l350f-wheel-loader-construction-2014,http://brickset.com/sets/42030-1,http://www.brickpicker.com/bpms/set.cfm?set=42030-1
10241-1,maersk-line-triple-e-model-2014,http://rebrickable.com/sets/10241-1/maersk-line-triple-e-model-2014,http://brickset.com/sets/10241-1,http://www.brickpicker.com/bpms/set.cfm?set=10241-1
42030-1,remote-controlled-volvo-a25f-articulated-hauler-technic-2014,http://rebrickable.com/sets/42030-1-b1/remote-controlled-volvo-a25f-articulated-hauler-technic-2014,http://brickset.com/sets/42030-1,http://www.brickpicker.com/bpms/set.cfm?set=42030-1
45570-1,space-challenge-set-mindstorms-2014,http://rebrickable.com/sets/45570-1/space-challenge-set-mindstorms-2014,http://brickset.com/sets/45570-1,http://www.brickpicker.com/bpms/set.cfm?set=45570-1
75055-1,imperial-star-destroyer-star-wars-2014,http://rebrickable.com/sets/75055-1/imperial-star-destroyer-star-wars-2014,http://brickset.com/sets/75055-1,http://www.brickpicker.com/bpms/set.cfm?set=75055-1
70146-1,flying-phoenix-fire-temple-legends-of-chima-2014,http://rebrickable.com/sets/70146-1/flying-phoenix-fire-temple-legends-of-chima-2014,http://brickset.com/sets/70146-1,http://www.brickpicker.com/bpms/set.cfm?set=70146-1
